area,name,num,style,year
英国,猜火车,137,"犯罪,剧情",1996
美国,魂断蓝桥,138,"剧情,战争,爱情",1940
美国,飞越疯人院,40,剧情,1975
美国,海豚湾,41,纪录片,2009
美国,闻香识女人,42,剧情,1992
"美国,英国,德国",V字仇杀队,43,"剧情,动作,科幻,惊悚",2005
日本,哈尔的移动城堡,44,"爱情,动画,奇幻,冒险",2004
美国,教父2,45,"剧情,犯罪",1974
"美国,加拿大",断背山,97,"剧情,爱情,同性,家庭",2005
"美国,英国",阿凡达,98,"动作,冒险,奇幻,科幻",2009
"意大利,中国大陆,英国,法国",末代皇帝,99,"剧情,传记,历史",1987
美国,摩登时代,100,"喜剧,剧情,爱情",1936
"香港,中国大陆",新龙门客栈,208,"剧情,动作,武侠,古装",1992
"意大利,西班牙,西德",黄金三镖客,209,"冒险,西部",1966
"美国,澳大利亚",黑客帝国3：矩阵革命,210,"动作,科幻",2003
美国,美国丽人,211,"剧情,家庭",1999
"法国,美国",穆赫兰道,212,"剧情,悬疑,惊悚",2001
美国,城市之光,213,"喜剧,剧情,爱情",1931
"德国,美国",非常嫌疑犯,214,"剧情,犯罪,悬疑,惊悚",1995
"美国,德国",无耻混蛋,215,"剧情,犯罪",2009
"博茨瓦纳,南非",上帝也疯狂,216,喜剧,1980
泰国,初恋这件小事,217,"喜剧,爱情",2010
美国,勇士,218,"剧情,运动,家庭",2011
韩国,爱·回家,219,"剧情,儿童,家庭",2002
"台湾,法国",蓝色大门,220,"剧情,爱情,同性",2002
美国,卡萨布兰卡,193,"剧情,爱情,战争",1942
"美国,澳大利亚",黑客帝国,69,"动作,科幻",1999
"美国,加拿大",蝴蝶效应,70,"剧情,悬疑,科幻,惊悚",2004
美国,拯救大兵瑞恩,71,"剧情,历史,战争",1998
韩国,素媛,72,"剧情,家庭",2013
"意大利,美国",西西里的美丽传说,73,"剧情,战争,情色",2000
澳大利亚,玛丽和马克思,74,"剧情,爱情,动画",2009
美国,心灵捕手,75,剧情,1997
美国,与狼共舞,233,"冒险,剧情,西部",1990
香港,枪火,234,"剧情,动作,犯罪",1999
"中国大陆,香港",疯狂的石头,235,"喜剧,犯罪",2006
美国,荒岛余生,236,"冒险,剧情",2000
美国,恋恋笔记本,139,"剧情,爱情",2004
日本,小森林 夏秋篇,140,剧情,2014
香港,喜剧之王,141,"喜剧,剧情,爱情",1999
香港,英雄本色,142,"动作,犯罪",1986
美国,雨中曲,143,"喜剧,歌舞,爱情",1952
"法国,英国,美国",傲慢与偏见,144,"剧情,爱情",2005
美国,教父3,145,"剧情,犯罪",1990
美国,完美的世界,146,"剧情,犯罪",1993
"美国,德国",谍影重重3,118,"动作,悬疑,惊悚",2007
美国,燃情岁月,119,"剧情,爱情,西部,家庭",1994
"香港,中国大陆",岁月神偷,120,"剧情,家庭",2010
韩国,恐怖直播,121,"剧情,犯罪,悬疑",2013
日本,借东西的小人阿莉埃蒂,122,"动画,奇幻,冒险",2010
"英国,美国,法国",真爱至上,123,"喜剧,剧情,爱情",2003
美国,雨人,124,剧情,1988
"英国,美国",贫民窟的百万富翁,125,"剧情,爱情",2008
美国,美丽心灵,46,"传记,剧情",2001
"美国,新西兰",指环王2：双塔奇兵,47,"剧情,动作,奇幻,冒险",2002
"新西兰,美国",指环王1：魔戒再现,48,"剧情,动作,奇幻,冒险",2001
美国,死亡诗社,49,剧情,1989
日本,情书,50,"剧情,爱情",1995
爱尔兰,曾经,221,"剧情,音乐,爱情",2006
"美国,法国",末路狂花,194,"犯罪,剧情,惊悚",1991
美国,千钧一发,237,"剧情,科幻",1997
"英国,美国",偷拐抢骗,238,"喜剧,犯罪",2000
美国,夜访吸血鬼,239,"剧情,奇幻,惊悚",1994
英国,月球,240,"剧情,科幻,悬疑",2009
美国,寿司之神,241,纪录片,2011
韩国,我爱你,242,"剧情,爱情",2011
"巴西,法国",中央车站,243,剧情,1998
香港,纵横四海,147,"剧情,喜剧,动作,犯罪",1991
美国,玩具总动员3,148,"喜剧,动画,奇幻,冒险",2010
日本,萤火之森,149,"剧情,爱情,动画,奇幻",2011
美国,人工智能,150,"冒险,剧情,科幻",2001
"英国,美国",模仿游戏,222,"剧情,传记,战争,同性",2014
美国,无敌破坏王,223,"喜剧,动画,冒险",2012
"美国,德国,英国",大卫·戈尔的一生,224,"剧情,犯罪,悬疑",2003
香港,麦兜故事,225,"剧情,喜剧,动画",2001
美国,被解救的姜戈,195,"剧情,动作,西部,冒险",2012
日本,燕尾蝶,196,"犯罪,剧情",1996
"美国,法国",终结者2：审判日,197,"动作,科幻",1991
美国,这个男人来自地球,198,"剧情,科幻",2007
美国,变脸,199,"动作,科幻,犯罪",1997
"美国,英国",英国病人,200,"爱情,剧情,战争",1996
泰国,爱在暹罗,244,"剧情,爱情,同性,家庭",2007
美国,廊桥遗梦,245,"剧情,爱情",1995
美国,罪恶之城,246,"动作,犯罪,惊悚",2005
"美国,英国",彗星来的那一夜,247,"科幻,悬疑,惊悚",2013
美国,黑鹰坠落,248,"动作,历史,战争",2001
"法国,比利时",两小无猜,249,"喜剧,剧情,爱情",2003
美国,头脑特工队,250,"喜剧,动画,冒险,家庭",2015
